t,qx,qy,px,py,H
0.0,-1.0000000000000002,-1.0000000000000002,0.0,-0.0,9.980000000000004
0.001,-0.9999972287495571,-1.0000027712427633,0.00554250530610908,-0.0055424745868962065,9.980012297405375
0.002,-0.9999889149717066,-1.000011084905417,0.011085063655651341,-0.011084817903249061,9.980049189400015
0.003,-0.9999750585868853,-1.0000249407910562,0.016627728086530385,-0.01662689867948914,9.980110675319489
0.004,-0.9999556594624973,-1.0000443385715068,0.02217055162559092,-0.02216858564799515,9.980196754056385
0.005,-0.9999307174129276,-1.0000692777873281,0.027713587283089907,-0.027709747544068603,9.980307424060273
0.006,-0.9999002321995619,-1.000099757847817,0.03325688804716849,-0.033250253106909294,9.980442683337653
0.007,-0.9998642035308105,-1.000135778031012,0.0388005068783249,-0.03878997108059172,9.980602529451891
0.008,-0.9998226310621402,-1.0001773374836984,0.04434449670388855,-0.04432877021504288,9.980786959523138
0.009000000000000001,-0.999775514396108,-1.0002244352214147,0.04988891041249576,-0.04986651926702143,9.980995970228232
0.01,-0.9997228530824053,-1.0002770701284598,0.055433800848566986,-0.05540308700109878,9.981229557800589
0.011,-0.999664646617903,-1.0003352409579018,0.06097922080678624,-0.06093834219064211,9.981487718030076
0.012,-0.999600894446704,-1.0003989463315872,0.06652522302658272,-0.06647215361879963,9.981770446262876
0.013000000000000001,-0.9995315959602021,-1.0004681847401502,0.07207186018661473,-0.07200439007948851,9.982077737401333
0.014,-0.9994567504971457,-1.0005429545430253,0.07761918489925644,-0.0775349203783854,9.982409585903769
0.015,-0.9993763573437053,-1.000623253968459,0.08316724970508788,-0.08306361333392016,9.982765985784324
0.016,-0.999290415733549,-1.0007090811135226,0.08871610706738758,-0.08859033777827262,9.983146930612744
0.017,-0.9991989248479237,-1.0008004339441272,0.09426580936662929,-0.09411496255837334,9.983552413514166
0.018000000000000002,-0.9991018838157384,-1.0008973102950387,0.0998164088949819,-0.09963735653690743,9.9839824271689
0.019,-0.9989992917136569,-1.0009997078698936,0.10536795785081368,-0.10515738859332313,9.984436963812186
0.02,-0.9988911475661935,-1.0011076242412167,0.11092050833320072,-0.11067492762484418,9.98491601523393
0.021,-0.9987774503458158,-1.00122105685044,0.11647411233643945,-0.11618984254748697,9.98541957277845
0.022,-0.9986581989730511,-1.0013400030079205,0.12202882174456446,-0.1217020022970822,9.985947627344178
0.023,-0.9985333923166008,-1.0014644598929618,0.1275846883258707,-0.12721127583030187,9.986500169383365
0.024,-0.9984030291934577,-1.001594424553835,0.1331417637274413,-0.13271753212569146,9.987077188901779
0.025,-0.9982671083690309,-1.0017298939078008,0.13870009946968076,-0.13822064018470728,9.987678675458364
0.026000000000000002,-0.9981256285572739,-1.0018708647411338,0.14425974694085358,-0.14372046903276015,9.988304618164909
0.027,-0.9979785884208211,-1.0020173337091458,0.1498207573916292,-0.1492168877202645,9.988955005685696
0.028,-0.9978259865711265,-1.0021692973362126,0.15538318192963307,-0.15470976532369418,9.989629826237133
0.029,-0.9976678215686112,-1.0023267520157995,0.1609470715140038,-0.1601989709466446,9.990329067587355
0.03,-0.9975040919228131,-1.0024896940104895,0.1665124769499578,-0.1656843737209014,9.991052717055863
0.031,-0.9973347960925438,-1.0026581194520117,0.17207944888335966,-0.1711658428075162,9.991800761513078
0.032,-0.9971599324860515,-1.002832024341272,0.1776480377953013,-0.17664324739789003,9.992573187379948
0.033,-0.996979499461188,-1.0030114045483827,0.183218293996687,-0.1821164567148633,9.993369980627502
0.034,-0.9967934953255811,-1.0031962558126952,0.1887902676228271,-0.18758534001381413,9.994191126776403
0.035,-0.996601918336814,-1.0033865737428336,0.19436400862803965,-0.19304976658376463,9.995036610896479
0.036000000000000004,-0.9964047667026074,-1.0035823538167274,0.19993956678025968,-0.19850960574849483,9.995906417606268
0.037,-0.9962020385810102,-1.0037835913816482,0.20551699165565712,-0.20396472686766537,9.996800531072505
0.038,-0.995993732080593,-1.0039902816542459,0.21109633263326422,-0.20941499933794896,9.997718935009646
0.039,-0.9957798452606483,-1.0042024197205857,0.21667763888961042,-0.21486029259417033,9.998661612679342
0.04,-0.9955603761313956,-1.0044200005361872,0.2222609593933677,-0.2203004761104555,9.999628546889912
0.041,-0.9953353226541916,-1.0046430189260644,0.22784634290000486,-0.2257354194013902,10.000619719995818
0.042,-0.9951046827417465,-1.0048714695847665,0.2334338379464515,-0.2311649920231881,10.0016351138971
0.043000000000000003,-0.9948684542583451,-1.0051053470764202,0.23902349284577198,-0.23658906357486886,10.00267471003882
0.044,-0.9946266350200733,-1.0053446458347735,0.24461535568184983,-0.24200750369944554,10.003738489410493
0.045,-0.9943792227950501,-1.0055893601632389,0.2502094743040821,-0.24742018208512329,10.004826432545487
0.046,-0.994126215303664,-1.0058394842349416,0.25580589632208495,-0.25282696846650754,10.005938519520443
0.047,-0.9938676102188164,-1.006095012092764,0.2614046691004098,-0.2582277326258234,10.007074729954647
